STATE_UT,DISTRICT,BLOCK,VILLAGE,LATITUDE,LONGITUDE,Date,DTWL
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Chintoor,17.756,81.387,2016-05-01,8.03
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Chintoor,17.756,81.387,2015-05-01,6.67
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Chintoor,17.756,81.387,2014-05-01,7.25
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Chirevalli,17.59458,81.0856,2024-05-10,4.82
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Chirevalli,17.59458,81.0856,2023-05-01,4.45
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Chirevalli,17.59458,81.0856,2022-05-01,5.69
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Chirevalli,17.59458,81.0856,2019-05-01,7.8
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Chirevalli,17.59458,81.0856,2018-05-01,6.12
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Chirevalli,17.59458,81.0856,2017-05-01,6.84
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Chirevalli,17.59458,81.0856,2016-05-01,6.79
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Chirevalli,17.59458,81.0856,2015-05-01,7.6
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Chirevalli,17.59458,81.0856,2014-05-01,3.93
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Edugarallapalli,17.74267,81.17827,2024-05-10,7.72
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Edugarallapalli,17.74267,81.17827,2023-05-01,6.82
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Edugarallapalli,17.74267,81.17827,2022-05-01,8.93
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Edugarallapalli,17.74267,81.17827,2019-05-01,7.54
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Edugarallapalli,17.74267,81.17827,2018-05-01,7.25
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Edugarallapalli,17.74267,81.17827,2017-05-01,7.3
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Edugarallapalli,17.74267,81.17827,2016-05-01,7.2
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Edugarallapalli,17.74267,81.17827,2015-05-01,7.1
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Edugarallapalli,17.74267,81.17827,2014-05-01,7.15
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Mothugudem,17.82787,81.63193,2024-05-10,3.96
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Mothugudem,17.82787,81.63193,2023-05-01,3.3
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Mothugudem,17.82787,81.63193,2022-05-01,3.73
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Mothugudem,17.82787,81.63193,2019-05-01,3.53
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Mothugudem,17.82787,81.63193,2018-05-01,3.79
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Mothugudem,17.82787,81.63193,2017-05-01,4.2
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Mothugudem,17.82787,81.63193,2016-05-01,4.1
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Mothugudem,17.82787,81.63193,2015-05-01,3.64
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Mothugudem,17.82787,81.63193,2014-05-01,3.47
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Sarivela,17.78168,81.28287,2024-05-10,5.95
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Sarivela,17.78168,81.28287,2023-05-01,4.75
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Sarivela,17.78168,81.28287,2022-05-01,5.48
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Sarivela,17.78168,81.28287,2019-05-01,6.7
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Sarivela,17.78168,81.28287,2018-05-01,5.58
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Sarivela,17.78168,81.28287,2017-05-01,5.65
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Sarivela,17.78168,81.28287,2016-05-01,5.6
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Sarivela,17.78168,81.28287,2015-05-01,5.12
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Sarivela,17.78168,81.28287,2014-05-01,4.57
Andhra Pradesh,Alluri Sitharama Raju Devipatnam,Chinna,Ramanayapet,17.3235,81.6974,2023-05-01,4.17
Andhra Pradesh,Alluri Sitharama Raju Devipatnam,Chinna,Ramanayapet,17.3235,81.6974,2019-05-01,8.13
Andhra Pradesh,Alluri Sitharama Raju Devipatnam,Chinna,Ramanayapet,17.3235,81.6974,2018-05-01,10.2
Andhra Pradesh,Alluri Sitharama Raju Devipatnam,Chinna,Ramanayapet,17.3235,81.6974,2017-05-01,8.38
Andhra Pradesh,Alluri Sitharama Raju Devipatnam,Chinna,Ramanayapet,17.3235,81.6974,2016-05-01,10.2
